event_ts,market_key,action,state_from,state_to,p1_price,p2_price,pnl_estimate,reason_code,simulated_latency_ms,simulated_fill_ratio,simulated_slippage_bps,simulated_cancelled,simulated_hedge_fail
2026-03-26T04:24:11Z,SOL5M_20260326T042500Z,open_leg1,IDLE,IDLE,0.179995,,0.0,entry_cutoff_blocked,,,,False,False
2026-03-26T04:24:12Z,SOL5M_20260326T042500Z,open_leg1,IDLE,IDLE,0.171847,,0.0,entry_cutoff_blocked,,,,False,False
2026-03-26T04:24:13Z,SOL5M_20260326T042500Z,open_leg1,IDLE,IDLE,0.182136,,0.0,entry_cutoff_blocked,,,,False,False
2026-03-26T04:24:14Z,SOL5M_20260326T042500Z,open_leg1,IDLE,IDLE,0.191513,,0.0,entry_cutoff_blocked,,,,False,False
2026-03-26T04:24:15Z,SOL5M_20260326T042500Z,open_leg1,IDLE,IDLE,0.177207,,0.0,entry_cutoff_blocked,,,,False,False
2026-03-26T04:24:16Z,SOL5M_20260326T042500Z,open_leg1,IDLE,IDLE,0.185937,,0.0,entry_cutoff_blocked,,,,False,False
2026-03-26T04:24:17Z,SOL5M_20260326T042500Z,open_leg1,IDLE,IDLE,0.183652,,0.0,entry_cutoff_blocked,,,,False,False
2026-03-26T04:24:18Z,SOL5M_20260326T042500Z,open_leg1,IDLE,IDLE,0.1717,,0.0,entry_cutoff_blocked,,,,False,False
2026-03-26T04:24:19Z,SOL5M_20260326T042500Z,open_leg1,IDLE,IDLE,0.176918,,0.0,entry_cutoff_blocked,,,,False,False
2026-03-26T04:24:20Z,SOL5M_20260326T042500Z,open_leg1,IDLE,IDLE,0.169186,,0.0,entry_cutoff_blocked,,,,False,False
2026-03-26T04:24:21Z,SOL5M_20260326T042500Z,open_leg1,IDLE,IDLE,0.182713,,0.0,entry_cutoff_blocked,,,,False,False
2026-03-26T04:24:22Z,SOL5M_20260326T042500Z,open_leg1,IDLE,IDLE,0.177819,,0.0,entry_cutoff_blocked,,,,False,False
2026-03-26T04:24:23Z,SOL5M_20260326T042500Z,open_leg1,IDLE,IDLE,0.163656,,0.0,entry_cutoff_blocked,,,,False,False
2026-03-26T04:24:24Z,SOL5M_20260326T042500Z,open_leg1,IDLE,IDLE,0.166653,,0.0,entry_cutoff_blocked,,,,False,False
2026-03-26T04:24:25Z,SOL5M_20260326T042500Z,open_leg1,IDLE,IDLE,0.161635,,0.0,entry_cutoff_blocked,,,,False,False
2026-03-26T04:24:26Z,SOL5M_20260326T042500Z,open_leg1,IDLE,IDLE,0.171374,,0.0,entry_cutoff_blocked,,,,False,False
2026-03-26T04:24:27Z,SOL5M_20260326T042500Z,open_leg1,IDLE,IDLE,0.173737,,0.0,entry_cutoff_blocked,,,,False,False
2026-03-26T04:24:28Z,SOL5M_20260326T042500Z,open_leg1,IDLE,IDLE,0.158031,,0.0,entry_cutoff_blocked,,,,False,False
