ts_utc,market_key,action,status,reason_code,leg1_side,yes_ask,no_ask,sum_ask,seconds_to_close,leg1_price,leg2_price,unwind_price,order_id_leg1,order_id_leg2,fill_status_leg1,fill_status_leg2,hedge_latency_ms,unwind_triggered,pnl_delta,pnl_total,feed_source,note
2026-03-30T12:23:15Z,BNB5M_2026-03-30T12:25:00Z,skip_entry,blocked,blocked_target_profit_floor,no,0.653,0.52,1.173,105,,,,,,,,,,0.0,0.0,rest_fallback,sum_ask=1.173000 required_sum_ask<=0.990000 target_profit_pct=1.0000
2026-03-30T12:23:16Z,XRP5M_2026-03-30T12:25:00Z,skip_entry,blocked,blocked_target_profit_floor,yes,0.5,0.51,1.01,104,,,,,,,,,,0.0,0.0,rest_fallback,sum_ask=1.010000 required_sum_ask<=0.990000 target_profit_pct=1.0000
2026-03-30T12:23:16Z,HYPE5M_2026-03-30T12:25:00Z,skip_entry,blocked,blocked_target_profit_floor,yes,0.19,0.88,1.07,104,,,,,,,,,,0.0,0.0,rest_fallback,sum_ask=1.070000 required_sum_ask<=0.990000 target_profit_pct=1.0000
2026-03-30T12:23:30Z,BTC5M_2026-03-30T12:25:00Z,skip_entry,blocked,blocked_target_profit_floor,no,0.84,0.17,1.01,90,,,,,,,,,,0.0,0.0,rest_fallback,sum_ask=1.010000 required_sum_ask<=0.990000 target_profit_pct=1.0000
2026-03-30T12:23:31Z,ETH5M_2026-03-30T12:25:00Z,skip_entry,blocked,blocked_target_profit_floor,yes,0.27,0.75,1.02,89,,,,,,,,,,0.0,0.0,rest_fallback,sum_ask=1.020000 required_sum_ask<=0.990000 target_profit_pct=1.0000
2026-03-30T12:23:31Z,DOGE5M_2026-03-30T12:25:00Z,skip_entry,blocked,blocked_target_profit_floor,yes,0.36,0.8065,1.1665,89,,,,,,,,,,0.0,0.0,rest_fallback,sum_ask=1.166500 required_sum_ask<=0.990000 target_profit_pct=1.0000
2026-03-30T12:23:31Z,BNB5M_2026-03-30T12:25:00Z,skip_entry,blocked,blocked_target_profit_floor,yes,0.56,0.64,1.2,89,,,,,,,,,,0.0,0.0,rest_fallback,sum_ask=1.200000 required_sum_ask<=0.990000 target_profit_pct=1.0000
2026-03-30T12:23:32Z,XRP5M_2026-03-30T12:25:00Z,skip_entry,blocked,blocked_target_profit_floor,yes,0.23,0.79,1.02,88,,,,,,,,,,0.0,0.0,rest_fallback,sum_ask=1.020000 required_sum_ask<=0.990000 target_profit_pct=1.0000
2026-03-30T12:23:32Z,HYPE5M_2026-03-30T12:25:00Z,skip_entry,blocked,blocked_target_profit_floor,yes,0.088,0.96,1.048,88,,,,,,,,,,0.0,0.0,rest_fallback,sum_ask=1.048000 required_sum_ask<=0.990000 target_profit_pct=1.0000
2026-03-30T12:23:46Z,BTC5M_2026-03-30T12:25:00Z,skip_entry,blocked,blocked_target_profit_floor,no,0.98,0.03,1.01,74,,,,,,,,,,0.0,0.0,rest_fallback,sum_ask=1.010000 required_sum_ask<=0.990000 target_profit_pct=1.0000
2026-03-30T12:23:46Z,ETH5M_2026-03-30T12:25:00Z,skip_entry,blocked,blocked_target_profit_floor,yes,0.51,0.51,1.02,74,,,,,,,,,,0.0,0.0,rest_fallback,sum_ask=1.020000 required_sum_ask<=0.990000 target_profit_pct=1.0000
2026-03-30T12:23:47Z,DOGE5M_2026-03-30T12:25:00Z,skip_entry,blocked,blocked_target_profit_floor,yes,0.54053333,0.64,1.18053333,73,,,,,,,,,,0.0,0.0,rest_fallback,sum_ask=1.180533 required_sum_ask<=0.990000 target_profit_pct=1.0000
2026-03-30T12:23:47Z,BNB5M_2026-03-30T12:25:00Z,skip_entry,blocked,blocked_target_profit_floor,no,0.56,0.48,1.04,73,,,,,,,,,,0.0,0.0,rest_fallback,sum_ask=1.040000 required_sum_ask<=0.990000 target_profit_pct=1.0000
2026-03-30T12:23:48Z,HYPE5M_2026-03-30T12:25:00Z,skip_entry,blocked,blocked_target_profit_floor,yes,0.10892,0.95,1.05892,72,,,,,,,,,,0.0,0.0,rest_fallback,sum_ask=1.058920 required_sum_ask<=0.990000 target_profit_pct=1.0000
2026-03-30T12:23:48Z,XRP5M_2026-03-30T12:25:00Z,skip_entry,blocked,blocked_target_profit_floor,yes,0.35,0.68,1.03,72,,,,,,,,,,0.0,0.0,rest_fallback,sum_ask=1.030000 required_sum_ask<=0.990000 target_profit_pct=1.0000
2026-03-30T12:24:02Z,BTC5M_2026-03-30T12:25:00Z,skip_entry,blocked,blocked_target_profit_floor,no,0.98,0.03,1.01,58,,,,,,,,,,0.0,0.0,rest_fallback,sum_ask=1.010000 required_sum_ask<=0.990000 target_profit_pct=1.0000
2026-03-30T12:24:02Z,ETH5M_2026-03-30T12:25:00Z,skip_entry,blocked,blocked_target_profit_floor,yes,0.43,0.58,1.01,58,,,,,,,,,,0.0,0.0,rest_fallback,sum_ask=1.010000 required_sum_ask<=0.990000 target_profit_pct=1.0000
2026-03-30T12:24:03Z,DOGE5M_2026-03-30T12:25:00Z,skip_entry,blocked,blocked_target_profit_floor,yes,0.32,0.8065,1.1265,57,,,,,,,,,,0.0,0.0,rest_fallback,sum_ask=1.126500 required_sum_ask<=0.990000 target_profit_pct=1.0000
2026-03-30T12:24:03Z,BNB5M_2026-03-30T12:25:00Z,skip_entry,blocked,blocked_target_profit_floor,yes,0.45,0.64,1.09,57,,,,,,,,,,0.0,0.0,rest_fallback,sum_ask=1.090000 required_sum_ask<=0.990000 target_profit_pct=1.0000
2026-03-30T12:24:03Z,HYPE5M_2026-03-30T12:25:00Z,skip_entry,blocked,blocked_target_profit_floor,yes,0.0585,0.98,1.0385,57,,,,,,,,,,0.0,0.0,rest_fallback,sum_ask=1.038500 required_sum_ask<=0.990000 target_profit_pct=1.0000
2026-03-30T12:24:04Z,XRP5M_2026-03-30T12:25:00Z,skip_entry,blocked,blocked_target_profit_floor,yes,0.1444,0.87,1.0144,56,,,,,,,,,,0.0,0.0,rest_fallback,sum_ask=1.014400 required_sum_ask<=0.990000 target_profit_pct=1.0000
2026-03-30T12:24:18Z,BTC5M_2026-03-30T12:25:00Z,skip_entry,blocked,blocked_target_profit_floor,no,0.95,0.07,1.02,42,,,,,,,,,,0.0,0.0,rest_fallback,sum_ask=1.020000 required_sum_ask<=0.990000 target_profit_pct=1.0000
2026-03-30T12:24:18Z,ETH5M_2026-03-30T12:25:00Z,skip_entry,blocked,blocked_target_profit_floor,yes,0.17,0.87,1.04,42,,,,,,,,,,0.0,0.0,rest_fallback,sum_ask=1.040000 required_sum_ask<=0.990000 target_profit_pct=1.0000
2026-03-30T12:24:18Z,DOGE5M_2026-03-30T12:25:00Z,skip_entry,blocked,blocked_target_profit_floor,yes,0.16,0.9,1.06,42,,,,,,,,,,0.0,0.0,rest_fallback,sum_ask=1.060000 required_sum_ask<=0.990000 target_profit_pct=1.0000
2026-03-30T12:24:19Z,BNB5M_2026-03-30T12:25:00Z,skip_entry,blocked,blocked_target_profit_floor,yes,0.36,0.8,1.16,41,,,,,,,,,,0.0,0.0,rest_fallback,sum_ask=1.160000 required_sum_ask<=0.990000 target_profit_pct=1.0000
2026-03-30T12:24:19Z,HYPE5M_2026-03-30T12:25:00Z,skip_entry,blocked,blocked_target_profit_floor,yes,0.051,0.99,1.041,41,,,,,,,,,,0.0,0.0,rest_fallback,sum_ask=1.041000 required_sum_ask<=0.990000 target_profit_pct=1.0000
2026-03-30T12:24:20Z,XRP5M_2026-03-30T12:25:00Z,skip_entry,blocked,blocked_target_profit_floor,yes,0.02,0.99,1.01,40,,,,,,,,,,0.0,0.0,rest_fallback,sum_ask=1.010000 required_sum_ask<=0.990000 target_profit_pct=1.0000
2026-03-30T12:24:34Z,BTC5M_2026-03-30T12:25:00Z,skip_entry,blocked,blocked_target_profit_floor,no,0.98,0.03,1.01,26,,,,,,,,,,0.0,0.0,rest_fallback,sum_ask=1.010000 required_sum_ask<=0.990000 target_profit_pct=1.0000
2026-03-30T12:24:34Z,ETH5M_2026-03-30T12:25:00Z,skip_entry,blocked,blocked_target_profit_floor,yes,0.0744,0.98,1.0544,26,,,,,,,,,,0.0,0.0,rest_fallback,sum_ask=1.054400 required_sum_ask<=0.990000 target_profit_pct=1.0000
